unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22962,HZ519714,17/11/2016 10:46:00,004XX E 107TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,FALSE,512,5,9,49,01A,1181006,1834102,2016,18/9/2022 4:45:51,41.70002011,-87.61284357,"(41.700020108, -87.612843569)"
23995,JB303350,12/6/2018 8:41:00,000XX W 104TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,TRUE,FALSE,512,5,34,49,01A,1177863,1835679,2018,28/3/2023 5:00:19,41.70441919,-87.62430435,"(41.704419193, -87.624304349)"
3496,HM180041,14/2/2006 4:15:00,003XX W 104TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,512,5,34,49,01A,1176012,1835633,2006,18/9/2022 4:45:51,41.70433458,-87.63108377,"(41.704334583, -87.631083766)"
2772,HK459752,28/6/2004 7:50:00,104XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,512,5,9,49,01A,1178886,1835813,2004,18/9/2022 4:45:51,41.70476373,-87.62055425,"(41.704763734, -87.620554245)"
2897697,HJ570499,30/7/2003 10:00:00,006XX E 103RD ST,0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,OTHER,FALSE,FALSE,512,5,9,50,02,1182608,1836814,2003,10/2/2018 3:50:01,41.70742526,-87.60689398,"(41.70742526, -87.606893983)"
2498950,HH839590,15/12/2002 5:58:20,001XX E 105TH ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,ALLEY,TRUE,FALSE,512,5,9,49,02,1179226,1835364,2002,28/2/2018 3:56:25,41.70352389,-87.61932285,"(41.703523887, -87.619322851)"
11852783,JC462851,6/10/2019 11:00:00,001XX W 107TH ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,FALSE,FALSE,512,5,34,49,02,1177075,1833998,2019,13/10/2019 4:14:41,41.69982406,-87.62724034,"(41.699824057, -87.627240336)"
6581153,HP653445,1/6/2007 3:00:00,001XX W 107TH ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,FALSE,FALSE,512,5,34,49,02,1177377,1834005,2007,28/2/2018 3:56:25,41.69983647,-87.62613433,"(41.699836467, -87.626134333)"
6535940,HP608150,4/10/2008 1:30:00,103XX S STATE ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,512,5,34,49,02,1178071,1836598,2008,28/2/2018 3:56:25,41.70693636,-87.62351495,"(41.706936355, -87.623514952)"
9177873,HW321258,16/6/2013 2:30:00,003XX W 105TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,TRUE,512,5,34,49,02,1175863,1835297,2013,10/2/2018 3:50:01,41.70341588,-87.6316394,"(41.703415884, -87.631639403)"
11600552,JC158123,8/2/2019 5:00:00,003XX W 106TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,512,5,34,49,02,1175896,1834634,2019,22/2/2019 3:56:41,41.70159578,-87.63153835,"(41.701595778, -87.631538348)"
4481954,HL782838,10/12/2005 8:00:00,105XX S EDBROOKE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,512,5,9,49,02,1179134,1835100,2005,28/2/2018 3:56:25,41.70280153,-87.61966775,"(41.702801528, -87.619667745)"
4720212,HM325928,2/5/2006 6:30:00,106XX S PERRY AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,512,5,34,49,02,1177489,1834228,2006,28/2/2018 3:56:25,41.70044589,-87.62571753,"(41.700445886, -87.625717529)"
12360039,JE223306,1/5/2021 7:00:00,103XX S VERNON AVE,0291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,512,5,9,49,02,1181073,1836472,2021,11/5/2021 4:58:38,41.70652216,-87.61252561,"(41.706522164, -87.612525611)"
